run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,20,20,response length mean,251.4921875
Pure Stage1 beta=0.1,stage1,20,20,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,20,20,rollout correct ratio,0.58984375
Pure Stage1 beta=0.1,stage1,20,20,actor grad norm,28.824234008789062
Pure Stage1 beta=0.1,stage1,21,21,response length mean,415.0390625
Pure Stage1 beta=0.1,stage1,21,21,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,21,21,rollout correct ratio,0.388671875
Pure Stage1 beta=0.1,stage1,21,21,actor grad norm,37.80793762207031
Pure Stage1 beta=0.1,stage1,22,22,response length mean,332.701171875
Pure Stage1 beta=0.1,stage1,22,22,response clip ratio,0.017578125
Pure Stage1 beta=0.1,stage1,22,22,rollout correct ratio,0.525390625
Pure Stage1 beta=0.1,stage1,22,22,actor grad norm,36.44491958618164
Pure Stage1 beta=0.1,stage1,23,23,response length mean,435.89453125
Pure Stage1 beta=0.1,stage1,23,23,response clip ratio,0.025390625
Pure Stage1 beta=0.1,stage1,23,23,rollout correct ratio,0.4140625
Pure Stage1 beta=0.1,stage1,23,23,actor grad norm,40.26014709472656
Pure Stage1 beta=0.1,stage1,24,24,response length mean,389.607421875
Pure Stage1 beta=0.1,stage1,24,24,response clip ratio,0.017578125
Pure Stage1 beta=0.1,stage1,24,24,rollout correct ratio,0.546875
Pure Stage1 beta=0.1,stage1,24,24,actor grad norm,33.490760803222656
Pure Stage1 beta=0.1,stage1,25,25,response length mean,405.65234375
Pure Stage1 beta=0.1,stage1,25,25,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,25,25,rollout correct ratio,0.494140625
Pure Stage1 beta=0.1,stage1,25,25,actor grad norm,35.3095703125
Pure Stage1 beta=0.1,stage1,26,26,response length mean,461.990234375
Pure Stage1 beta=0.1,stage1,26,26,response clip ratio,0.0390625
Pure Stage1 beta=0.1,stage1,26,26,rollout correct ratio,0.556640625
Pure Stage1 beta=0.1,stage1,26,26,actor grad norm,32.55451965332031
Pure Stage1 beta=0.1,stage1,27,27,response length mean,333.234375
Pure Stage1 beta=0.1,stage1,27,27,response clip ratio,0.005859375
Pure Stage1 beta=0.1,stage1,27,27,rollout correct ratio,0.494140625
Pure Stage1 beta=0.1,stage1,27,27,actor grad norm,37.45820236206055
Pure Stage1 beta=0.1,stage1,28,28,response length mean,308.12890625
Pure Stage1 beta=0.1,stage1,28,28,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,28,28,rollout correct ratio,0.498046875
Pure Stage1 beta=0.1,stage1,28,28,actor grad norm,35.00016403198242
Pure Stage1 beta=0.1,stage1,29,29,response length mean,337.060546875
Pure Stage1 beta=0.1,stage1,29,29,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,29,29,rollout correct ratio,0.51953125
Pure Stage1 beta=0.1,stage1,29,29,actor grad norm,32.38151931762695
Pure Stage1 beta=0.1,stage1,30,30,response length mean,356.84765625
Pure Stage1 beta=0.1,stage1,30,30,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,30,30,rollout correct ratio,0.509765625
Pure Stage1 beta=0.1,stage1,30,30,actor grad norm,34.844078063964844
Pure Stage1 beta=0.1,stage1,31,31,response length mean,330.560546875
Pure Stage1 beta=0.1,stage1,31,31,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,31,31,rollout correct ratio,0.6171875
Pure Stage1 beta=0.1,stage1,31,31,actor grad norm,30.189138412475586
Pure Stage1 beta=0.1,stage1,32,32,response length mean,403.998046875
Pure Stage1 beta=0.1,stage1,32,32,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,32,32,rollout correct ratio,0.48828125
Pure Stage1 beta=0.1,stage1,32,32,actor grad norm,33.50400161743164
Pure Stage1 beta=0.1,stage1,33,33,response length mean,360.646484375
Pure Stage1 beta=0.1,stage1,33,33,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,33,33,rollout correct ratio,0.5625
Pure Stage1 beta=0.1,stage1,33,33,actor grad norm,32.18473434448242
