run,run_short,lambda,raw_step,effective_step,metric,value
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,LiveCodeBench extraction fail,0.421875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,rollout correct ratio,0.45703125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,response length mean,587.90234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,21,61,rollout correct ratio,0.58203125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,21,61,response length mean,354.998046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,22,62,rollout correct ratio,0.5625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,22,62,response length mean,464.13671875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,23,63,rollout correct ratio,0.48828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,23,63,response length mean,657.69140625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,24,64,rollout correct ratio,0.53125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,24,64,response length mean,629.41796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,HumanEval+ extraction fail,0.012195121951219513
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,MBPP+ extraction fail,0.015873015873015872
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,LiveCodeBench extraction fail,0.3203125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,rollout correct ratio,0.5234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,response length mean,543.5078125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,26,66,rollout correct ratio,0.5078125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,26,66,response length mean,548.21875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,27,67,rollout correct ratio,0.62890625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,27,67,response length mean,448.615234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,28,68,rollout correct ratio,0.548828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,28,68,response length mean,619.9140625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,29,69,rollout correct ratio,0.521484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,29,69,response length mean,610.75
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,30,70,HumanEval+ extraction fail,0.042682926829268296
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,30,70,MBPP+ extraction fail,0.05026455026455026
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,30,70,LiveCodeBench extraction fail,0.40625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,30,70,rollout correct ratio,0.609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,30,70,response length mean,812.25390625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,31,71,rollout correct ratio,0.640625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,31,71,response length mean,889.49609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,32,72,rollout correct ratio,0.603515625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,32,72,response length mean,623.2265625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,33,73,rollout correct ratio,0.46875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,33,73,response length mean,856.96484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,34,74,rollout correct ratio,0.60546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,34,74,response length mean,757.09375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,35,75,HumanEval+ extraction fail,0.13414634146341464
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,35,75,MBPP+ extraction fail,0.15079365079365079
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,35,75,LiveCodeBench extraction fail,0.5546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,35,75,rollout correct ratio,0.560546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,35,75,response length mean,940.091796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,36,76,rollout correct ratio,0.609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,36,76,response length mean,848.220703125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,37,77,rollout correct ratio,0.509765625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,37,77,response length mean,1034.341796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,38,78,rollout correct ratio,0.59375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,38,78,response length mean,814.13671875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,39,79,rollout correct ratio,0.546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,39,79,response length mean,1050.623046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,40,80,HumanEval+ extraction fail,0.32926829268292684
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,40,80,MBPP+ extraction fail,0.291005291005291
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,40,80,LiveCodeBench extraction fail,0.5859375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,40,80,rollout correct ratio,0.560546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,40,80,response length mean,1049.8203125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,41,81,rollout correct ratio,0.373046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,41,81,response length mean,1256.1875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,42,82,rollout correct ratio,0.416015625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,42,82,response length mean,1253.6171875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,43,83,rollout correct ratio,0.3671875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,43,83,response length mean,1386.146484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,44,84,rollout correct ratio,0.37109375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,44,84,response length mean,1611.15625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,45,85,HumanEval+ extraction fail,0.6036585365853658
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,45,85,MBPP+ extraction fail,0.4312169312169312
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,45,85,LiveCodeBench extraction fail,0.9375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,45,85,rollout correct ratio,0.267578125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,45,85,response length mean,1701.404296875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,46,86,rollout correct ratio,0.244140625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,46,86,response length mean,1887.298828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,47,87,rollout correct ratio,0.29296875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,47,87,response length mean,1691.080078125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,48,88,rollout correct ratio,0.212890625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,48,88,response length mean,1889.93359375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,49,89,rollout correct ratio,0.23828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,49,89,response length mean,1786.890625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,50,90,HumanEval+ extraction fail,0.5182926829268293
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,50,90,MBPP+ extraction fail,0.4603174603174603
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,50,90,LiveCodeBench extraction fail,0.859375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,50,90,rollout correct ratio,0.236328125
