beta,stage1_source_step,stage1_source_math500_mean3_pct,stage1_best_step,stage1_best_math500_mean3_pct,stage2_best_step,stage2_best_effective_step,stage2_best_math500_mean3_pct,stage1_continuation_at_stage2_best_pct,delta_vs_source_pp,delta_vs_stage1_continuation_pp,stage2_final_step,stage2_final_math500_mean3_pct,stage2_final_extraction_failure_pct
beta=0.0,85,73.2527,85,73.2527,35,120,74.7984,71.0349,1.5457,3.7634,75,1.4113,55.7471
beta=0.1,150,75.7392,150,75.7392,20,170,76.6801,,0.9409,,75,1.3441,93.2312
